timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098458,0,F02-1,0.77,209.28
5098458,0,F02-1,0.77,209.28
5098459,0,F02-1,0.77,208.05
5098459,0,F02-1,0.77,208.05
5098461,0,F02-1,0.77,208.42
5098461,0,F02-1,0.77,208.42
5098463,0,F02-1,0.77,208.04
5098463,0,F02-1,0.77,208.04
5098464,0,F02-1,0.77,206.99
5098464,0,F02-1,0.77,206.99
5098465,0,F02-1,0.77,208.25
5098465,0,F02-1,0.77,208.25
5098466,0,F02-1,0.77,208.2
5098466,0,F02-1,0.77,208.2
5098467,0,F02-1,0.77,208.96
5098467,0,F02-1,0.77,208.96
5098468,0,F02-1,0.77,207.96
5098468,0,F02-1,0.77,207.96
5098469,0,F02-1,0.77,208.06
5098469,0,F02-1,0.77,208.06
5098470,0,F02-1,0.77,208.32
5098470,0,F02-1,0.77,208.32
5098471,0,F02-1,0.77,208.98
5098471,0,F02-1,0.77,208.98
5098472,0,F02-1,0.77,211.15
5098472,0,F02-1,0.77,211.15
5098473,0,F02-1,0.77,207.38
5098473,0,F02-1,0.77,207.38
5098474,0,F02-1,0.77,208.43
5098474,0,F02-1,0.77,208.43
5098475,0,F02-1,0.77,208.64
5098475,0,F02-1,0.77,208.64
5098476,0,F02-1,0.77,208.59
5098476,0,F02-1,0.77,208.59
5098477,0,F02-1,0.76,208.58
5098477,0,F02-1,0.76,208.58
5098478,0,F02-1,0.77,207.5
5098478,0,F02-1,0.77,207.5
5098479,0,F02-1,0.77,222.22
5098479,0,F02-1,0.77,222.22
5098480,0,F02-1,0.77,261.06
5098480,0,F02-1,0.77,261.06
5098481,0,F02-1,0.77,208.9
5098481,0,F02-1,0.77,208.9
5098482,0,F02-1,0.77,208.7
5098482,0,F02-1,0.77,208.7
5098483,0,F02-1,0.77,208.94
5098483,0,F02-1,0.77,208.94
5098484,0,F02-1,0.77,209.69
5098484,0,F02-1,0.77,209.69
5098485,0,F02-1,0.77,209.99
5098485,0,F02-1,0.77,209.99
5098486,0,F02-1,0.77,210.22
5098486,0,F02-1,0.77,210.22
5098487,0,F02-1,0.77,208.79
5098487,0,F02-1,0.77,208.79
5098488,0,F02-1,0.77,208.52
5098488,0,F02-1,0.77,208.52
5098489,0,F02-1,0.77,210.5
5098489,0,F02-1,0.77,210.5
5098490,0,F02-1,0.77,209.72
5098490,0,F02-1,0.77,209.72
5098491,0,F02-1,0.77,209.48
5098491,0,F02-1,0.77,209.48
5098492,0,F02-1,0.77,209.23
5098492,0,F02-1,0.77,209.23
5098493,0,F02-1,0.77,209.9
5098493,0,F02-1,0.77,209.9
5098494,0,F02-1,0.77,208.96
5098494,0,F02-1,0.77,208.96
5098495,0,F02-1,0.77,209.98
5098495,0,F02-1,0.77,209.98
5098496,0,F02-1,0.77,210.47
5098496,0,F02-1,0.77,210.47
5098497,0,F02-1,0.77,209.75
5098497,0,F02-1,0.77,209.75
5098498,0,F02-1,0.77,209.09
5098498,0,F02-1,0.77,209.09
5098499,0,F02-1,0.77,209.25
5098499,0,F02-1,0.77,209.25
5098500,0,F02-1,0.77,209.65
5098500,0,F02-1,0.77,209.65
5098501,0,F02-1,0.77,209.53
5098501,0,F02-1,0.77,209.53
5098502,0,F02-1,0.77,209.1
5098502,0,F02-1,0.77,209.1
5098503,0,F02-1,0.77,208.9
5098503,0,F02-1,0.77,208.9
5098504,0,F02-1,0.77,208.86
5098504,0,F02-1,0.77,208.86
5098505,0,F02-1,0.77,209.78
5098505,0,F02-1,0.77,209.78
5098506,0,F02-1,0.77,208.16
5098506,0,F02-1,0.77,208.16
5098507,0,F02-1,0.77,279.82
5098507,0,F02-1,0.77,279.82
5098508,0,F02-1,0.77,209.0
5098508,0,F02-1,0.77,209.0
5098510,0,F02-1,0.77,208.91
5098510,0,F02-1,0.77,208.91
5098511,0,F02-1,0.77,208.71
5098511,0,F02-1,0.77,208.71
5098512,0,F02-1,0.77,209.62
5098512,0,F02-1,0.77,209.62
5098513,0,F02-1,0.77,209.74
5098513,0,F02-1,0.77,209.74
5098514,0,F02-1,0.77,209.58
5098514,0,F02-1,0.77,209.58
5098515,0,F02-1,0.77,209.11
5098515,0,F02-1,0.77,209.11
5098516,0,F02-1,0.77,209.64
5098516,0,F02-1,0.77,209.64
5098517,0,F02-1,0.77,210.44
5098517,0,F02-1,0.77,210.44
5098518,0,F02-1,0.77,208.95
5098518,0,F02-1,0.77,208.95
5098519,0,F02-1,0.77,210.16
5098519,0,F02-1,0.77,210.16
5098520,0,F02-1,0.77,209.85
5098520,0,F02-1,0.77,209.85
5098521,0,F02-1,0.77,209.87
5098521,0,F02-1,0.77,209.87
5098522,0,F02-1,0.77,210.45
5098522,0,F02-1,0.77,210.45
5098523,0,F02-1,0.77,208.66
5098523,0,F02-1,0.77,208.66
5098524,0,F02-1,0.77,208.53
5098524,0,F02-1,0.77,208.53
5098525,0,F02-1,0.77,209.26
5098525,0,F02-1,0.77,209.26
5098526,0,F02-1,0.77,209.35
5098526,0,F02-1,0.77,209.35
5098527,0,F02-1,0.77,210.09
5098527,0,F02-1,0.77,210.09
5098528,0,F02-1,0.77,209.44
5098528,0,F02-1,0.77,209.44
5098529,0,F02-1,0.77,208.35
5098529,0,F02-1,0.77,208.35
5098530,0,F02-1,0.77,208.38
5098530,0,F02-1,0.77,208.38
5098531,0,F02-1,0.77,208.16
5098531,0,F02-1,0.77,208.16
5098532,0,F02-1,0.77,207.93
5098532,0,F02-1,0.77,207.93
5098533,0,F02-1,0.77,207.39
5098533,0,F02-1,0.77,207.39
5098534,0,F02-1,0.77,278.83
5098534,0,F02-1,0.77,278.83
5098535,0,F02-1,0.77,207.37
5098535,0,F02-1,0.77,207.37
5098536,0,F02-1,0.77,207.7
5098536,0,F02-1,0.77,207.7
5098537,0,F02-1,0.77,206.85
5098537,0,F02-1,0.77,206.85
5098538,0,F02-1,0.77,207.84
5098538,0,F02-1,0.77,207.84
5098539,0,F02-1,0.77,207.21
5098539,0,F02-1,0.77,207.21
5098540,0,F02-1,0.77,207.19
5098540,0,F02-1,0.77,207.19
5098541,0,F02-1,0.77,206.9
5098541,0,F02-1,0.77,206.9
5098542,0,F02-1,0.77,207.78
5098542,0,F02-1,0.77,207.78
5098543,0,F02-1,0.77,207.24
5098543,0,F02-1,0.77,207.24
5098544,0,F02-1,0.77,206.93
5098544,0,F02-1,0.77,206.93
5098545,0,F02-1,0.77,206.68
5098545,0,F02-1,0.77,206.68
5098546,0,F02-1,0.77,207.7
5098546,0,F02-1,0.77,207.7
5098547,0,F02-1,0.77,206.96
5098547,0,F02-1,0.77,206.96
5098548,0,F02-1,0.77,207.83
5098548,0,F02-1,0.77,207.83
5098549,0,F02-1,0.77,206.55
5098549,0,F02-1,0.77,206.55
5098550,0,F02-1,0.77,207.04
5098550,0,F02-1,0.77,207.04
5098551,0,F02-1,0.77,206.14
5098551,0,F02-1,0.77,206.14
5098552,0,F02-1,0.77,207.11
5098552,0,F02-1,0.77,207.11
5098553,0,F02-1,0.77,207.21
5098553,0,F02-1,0.77,207.21
5098554,0,F02-1,0.77,207.1
5098554,0,F02-1,0.77,207.1
5098555,0,F02-1,0.77,207.88
5098555,0,F02-1,0.77,207.88
5098556,0,F02-1,0.77,207.25
5098556,0,F02-1,0.77,207.25
5098557,0,F02-1,0.77,207.4
5098557,0,F02-1,0.77,207.4
5098558,0,F02-1,0.77,208.2
5098558,0,F02-1,0.77,208.2
5098559,0,F02-1,0.77,208.18
5098559,0,F02-1,0.77,208.18
5098560,0,F02-1,0.77,207.7
5098560,0,F02-1,0.77,207.7
5098561,0,F02-1,0.77,270.56
5098561,0,F02-1,0.77,270.56
5098562,0,F02-1,0.77,212.87
5098562,0,F02-1,0.77,212.87
5098563,0,F02-1,0.77,208.34
5098563,0,F02-1,0.77,208.34
5098564,0,F02-1,0.77,207.52
5098564,0,F02-1,0.77,207.52
